[tssadm@localhost bin]$ ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
root      2637     2  0 Dec18 ?        00:00:00 [kdmflush]
root      2638     2  0 Dec18 ?        00:00:00 [bioset]
root      2657     2  0 Dec18 ?        00:00:00 [bioset]
root      2660     2  0 Dec18 ?        00:00:00 [xfsalloc]
root      2661     2  0 Dec18 ?        00:00:00 [xfs_mru_cache]
root      2668     2  0 Dec18 ?        00:00:00 [xfs-buf/dm-0]
root      2669     2  0 Dec18 ?        00:00:00 [xfs-data/dm-0]
root      2670     2  0 Dec18 ?        00:00:00 [xfs-conv/dm-0]
root      2671     2  0 Dec18 ?        00:00:00 [xfs-cil/dm-0]
root      2672     2  0 Dec18 ?        00:00:00 [xfs-reclaim/dm-]
root      2673     2  0 Dec18 ?        00:00:00 [xfs-log/dm-0]
root      2674     2  0 Dec18 ?        00:00:00 [xfs-eofblocks/d]
root      2679     2  0 Dec18 ?        00:00:00 [xfsaild/dm-0]
root      2684     2  0 Dec18 ?        00:00:00 [kworker/0:1H]
root      2757     1  0 Dec18 ?        00:00:00 /usr/lib/systemd/systemd-journald
root      2767     2  0 Dec18 ?        00:00:00 [kworker/2:2]
root      2780     1  0 Dec18 ?        00:00:00 /usr/sbin/lvmetad -f
root      2798     1  0 Dec18 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root      3288     2  0 Dec18 ?        00:00:00 [kworker/5:1H]
root      3289     2  0 Dec18 ?        00:00:00 [kworker/2:1H]
root      3345     2  0 Dec18 ?        00:00:00 [kworker/1:1H]
root      3494     2  0 Dec18 ?        00:00:00 [irq/135-mei_me]
root      4629     2  0 Dec18 ?        00:00:00 [kvm-irqfd-clean]
root      4676     2  0 Dec18 ?        00:00:00 [kworker/7:2]
root      5527     2  0 Dec18 ?        00:00:00 [kworker/3:1H]
root      5531     2  0 Dec18 ?        00:00:00 [xfs-buf/sda2]
root      5532     2  0 Dec18 ?        00:00:00 [xfs-data/sda2]
root      5533     2  0 Dec18 ?        00:00:00 [xfs-conv/sda2]
root      5534     2  0 Dec18 ?        00:00:00 [xfs-cil/sda2]
root      5535     2  0 Dec18 ?        00:00:00 [xfs-reclaim/sda]
root      5536     2  0 Dec18 ?        00:00:00 [xfs-log/sda2]
root      5537     2  0 Dec18 ?        00:00:00 [xfs-eofblocks/s]
root      5538     2  0 Dec18 ?        00:00:00 [xfsaild/sda2]
root      5540     2  0 Dec18 ?        00:00:00 [kdmflush]
root      5543     2  0 Dec18 ?        00:00:00 [bioset]
root      5549     2  0 Dec18 ?        00:00:00 [kworker/4:2]
root      5551     2  0 Dec18 ?        00:00:00 [xfs-buf/dm-2]
root      5552     2  0 Dec18 ?        00:00:00 [xfs-data/dm-2]
root      5553     2  0 Dec18 ?        00:00:00 [xfs-conv/dm-2]
root      5554     2  0 Dec18 ?        00:00:00 [xfs-cil/dm-2]
root      5555     2  0 Dec18 ?        00:00:00 [xfs-reclaim/dm-]
root      5556     2  0 Dec18 ?        00:00:00 [xfs-log/dm-2]
root      5557     2  0 Dec18 ?        00:00:00 [xfs-eofblocks/d]
root      5558     2  0 Dec18 ?        00:00:00 [xfsaild/dm-2]
root      5599     1  0 Dec18 ?        00:00:00 /sbin/auditd
root      5601  5599  0 Dec18 ?        00:00:00 /sbin/audispd
root      5602  5601  0 Dec18 ?        00:00:00 /usr/sbin/sedispatch
root      5605     2  0 Dec18 ?        00:00:00 [rpciod]
root      5606     2  0 Dec18 ?        00:00:00 [xprtiod]
rpc       5635     1  0 Dec18 ?        00:00:00 /sbin/rpcbind -w
root      5637     1  0 Dec18 ?        00:00:00 /usr/lib/systemd/systemd-logind
polkitd   5638     1  0 Dec18 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root      5640     1  0 Dec18 ?        00:00:00 /usr/sbin/irqbalance --foreground
root      5642     1  0 Dec18 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --in
root      5645     1  0 Dec18 ?        00:00:00 /usr/sbin/ModemManager
root      5646     1  0 Dec18 ?        00:00:00 /usr/libexec/accounts-daemon
rtkit     5656     1  0 Dec18 ?        00:00:00 /usr/libexec/rtkit-daemon
root      5657     1  0 Dec18 ?        00:00:00 /usr/libexec/udisks2/udisksd
root      5658     1  0 Dec18 ?        00:00:00 /sbin/rngd -f
root      5659     1  0 Dec18 ?        00:00:00 /usr/sbin/smartd -n -q never
libstor+  5661     1  0 Dec18 ?        00:00:00 /usr/bin/lsmd -d
root      5666     1  0 Dec18 ?        00:00:00 /usr/sbin/abrtd -d -s
root      5670     1  0 Dec18 ?        00:00:00 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recu
avahi     5671     1  0 Dec18 ?        00:00:00 avahi-daemon: running [linux.local]
root      5672     1  0 Dec18 ?        00:00:00 /usr/sbin/gssproxy -D
root      5673     1  0 Dec18 ?        00:00:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dum
dbus      5674     1  0 Dec18 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --syste
root      5689     1  0 Dec18 ?        00:00:00 /usr/sbin/mcelog --ignorenodev --daemon --syslog
